OPUS ID,Instrument Name,Observation Start Time (YMDhms),Observation Duration (secs),Wavenumber (Min) (cm^-1),Wavenumber (Max) (cm^-1)
hst-05219-wfpc2-u2iq0101t,Hubble WFPC2,1994-10-09T11:06:16.000,2,14803.8490007,14905.351021
hst-06030-wfpc2-u2qe030ct,Hubble WFPC2,1995-11-17T08:37:16.000,30,16087.5160875,16175.9948237
hst-06806-wfpc2-u3ic0401t,Hubble WFPC2,1996-09-30T01:56:16.000,35,28320.5890683,31675.6414317
hst-07427-wfpc2-u46a8a03r,Hubble WFPC2,1998-10-24T15:36:14.000,0.5,16520.7335206,20725.388601
hst-08398-wfpc2-u5gqa101r,Hubble WFPC2,1999-08-25T03:06:13.000,30,28320.5890683,31675.6414317
hst-08158-stis-o5dta2nyq,Hubble STIS,2000-12-07T11:30:03.000,480,56179.7752809,78125
hst-09112-stis-o6eka1010,Hubble STIS,2001-11-28T13:29:36.000,4,9737.0983447,46948.3568075
hst-09341-wfpc2-u6l4c203m,Hubble WFPC2,2002-12-16T05:41:17.000,0.4,16520.7335206,20725.388601
hst-09809-wfpc2-u8p6d103m,Hubble WFPC2,2003-12-05T04:48:15.000,0.1,16520.7335206,20725.388601
hst-09809-wfpc2-u8p6l101m,Hubble WFPC2,2004-03-30T00:58:15.000,30,28320.5890683,31675.6414317
hst-10506-acs-j9dn05p3q,Hubble ACS,2005-10-28T17:44:18.000,330,62972.2921914,77639.7515528
hst-10862-acs-j9rls6lyq,Hubble ACS,2007-01-17T04:30:14.000,100,62972.2921914,77639.7515528
hst-10862-acs-j9rlw4rcq,Hubble ACS,2008-02-08T07:22:38.000,100,64267.3521851,79617.8343949
hst-11566-acs-jb29a4csq,Hubble ACS,2009-01-24T21:26:09.000,100,62972.2921914,77639.7515528
hst-12176-acs-jbh8h3041,Hubble ACS,2011-04-05T06:42:27.000,500,62972.2921914,77639.7515528
hst-12660-acs-jbswi5n9q,Hubble ACS,2012-04-01T10:54:42.000,100,60532.6876513,71326.6761769
hst-13051-acs-jc07j9k7q,Hubble ACS,2013-05-19T03:22:07.000,100,54112.5541126,59952.0383693
hst-13396-stis-occgk5ecq,Hubble STIS,2014-05-25T04:29:57.000,700.2,56179.7752809,78125
hst-14064-wfc3-ict901klq,Hubble WFC3,2015-06-29T23:01:32.000,40,13679.8905609,13812.1546961
hst-14267-stis-ocvq04d7q,Hubble STIS,2016-08-19T19:07:42.000,2700.2,56179.7752809,78125
hst-14931-stis-odfbb2diq,Hubble STIS,2017-09-02T05:00:02.000,784.2,56179.7752809,78125
